34.7598			-2.2955			-32.8031			-0.3000			-68.0000			230.0000			-299.0000			
32.5321			5.0308			-37.7823			-0.2000			-77.0000			233.0000			-279.0000			
30.8614			13.4843			-39.9952			4.3000			-94.0000			241.0000			-257.0000			
29.1906			14.6114			-41.6549			2.1000			-103.0000			242.0000			-234.0000			
24.1784			18.5564			-42.2082			0.5000			-111.0000			242.0000			-210.0000			
24.1784			19.1199			-43.8679			-0.5000			-121.0000			244.0000			-186.0000			
23.6214			19.6835			-43.3147			0.0000			-126.0000			239.0000			-163.0000			
20.2799			23.0649			-42.7614			0.5000			-127.0000			234.0000			-142.0000			
17.4954			25.3191			-42.2082			0.6000			-127.0000			223.0000			-120.0000			
12.4831			27.0098			-39.9952			-0.5000			-125.0000			211.0000			-95.0000			
10.2554			28.1370			-38.8887			-0.4000			-127.0000			197.0000			-69.0000			
8.0278			29.2641			-37.2290			0.0000			-128.0000			184.0000			-42.0000			
3.5724			34.8997			-38.8887			-0.4000			-130.0000			173.0000			-17.0000			
4.1293			37.1540			-41.6549			-0.3000			-128.0000			162.0000			8.0000			
2.4586			37.7176			-39.9952			0.1000			-127.0000			149.0000			29.0000			
-11.4643			41.6625			-27.8239			2.3000			-129.0000			132.0000			61.0000			
-18.7043			42.7896			-29.4837			-5.4000			-134.0000			113.0000			99.0000			
-15.9197			45.0439			-33.3563			-4.2000			-131.0000			94.0000			130.0000			
-19.2612			46.1710			-27.8239			-0.9000			-130.0000			73.0000			162.0000			
-19.2612			46.1710			-28.9304			-2.0000			-127.0000			57.0000			190.0000			
-19.8181			46.1710			-26.7175			-0.3000			-124.0000			41.0000			212.0000			
-22.6027			45.0439			-23.3980			-0.9000			-117.0000			25.0000			230.0000			
-25.3873			43.9168			-19.5253			-0.9000			-108.0000			12.0000			243.0000			
-28.1719			42.7896			-15.6527			-1.0000			-99.0000			-5.0000			256.0000			
-29.8426			42.2261			-12.8865			-0.5000			-91.0000			-21.0000			270.0000			
-30.9565			39.9718			-9.5670			-0.5000			-84.0000			-40.0000			285.0000			
-34.8549			39.9718			-6.2476			-1.1000			-77.0000			-58.0000			300.0000			
-35.4118			40.5354			-6.2476			-1.1000			-68.0000			-73.0000			308.0000			
-34.8549			38.8447			-4.0346			0.0000			-58.0000			-89.0000			315.0000			
-37.0825			29.2641			5.3705			-2.4000			-48.0000			-115.0000			331.0000			
-39.3102			35.4633			2.6043			-1.2000			-35.0000			-136.0000			338.0000			
-40.9810			32.6455			10.9029			2.5000			-25.0000			-157.0000			346.0000			
-41.5379			24.7556			17.5418			0.7000			-15.0000			-177.0000			354.0000			
-40.9810			25.3191			14.2223			-1.4000			-4.0000			-193.0000			359.0000			
-39.3102			22.5013			15.8820			-0.9000			6.0000			-206.0000			357.0000			
-38.7533			19.1199			18.0950			-1.5000			13.0000			-213.0000			352.0000			
-38.7533			16.3021			21.9677			-0.4000			19.0000			-216.0000			344.0000			
-39.3102			12.9207			25.2871			-1.0000			27.0000			-220.0000			335.0000			
-38.1964			11.2300			26.9469			0.0000			35.0000			-224.0000			324.0000			
-37.0825			6.1580			30.2663			-0.6000			45.0000			-231.0000			313.0000			
-35.9687			3.9037			30.8195			-1.2000			54.0000			-234.0000			297.0000			
-35.9687			3.3401			30.8195			-1.8000			62.0000			-235.0000			280.0000			
-32.0703			-2.8591			33.0325			-1.8000			73.0000			-238.0000			260.0000			
-30.9565			-11.8761			36.9052			-5.9000			88.0000			-249.0000			239.0000			
-28.7288			-11.8761			39.6714			-0.9000			97.0000			-246.0000			215.0000			
-23.7165			-17.5117			41.3311			0.1000			106.0000			-248.0000			192.0000			
-24.8304			-19.2024			43.5441			-0.4000			113.0000			-248.0000			170.0000			
-23.7165			-19.7660			43.5441			0.0000			118.0000			-244.0000			147.0000			
-21.4889			-22.5838			42.9908			-1.0000			120.0000			-237.0000			123.0000			
-18.7043			-24.2745			41.8843			-1.0000			117.0000			-227.0000			101.0000			
-13.1351			-27.0923			40.2246			0.0000			119.0000			-214.0000			76.0000			
-9.2367			-28.2194			38.0117			0.5000			119.0000			-202.0000			50.0000			
-9.2367			-29.9101			39.1181			0.0000			123.0000			-192.0000			23.0000			
-3.6675			-35.5458			39.6714			0.4000			123.0000			-181.0000			-2.0000			
-3.6675			-37.2365			42.4376			1.5000			123.0000			-168.0000			-24.0000			
